도서관명,주소,전화번호
BIBLIOTECA,서울특별시 강남구 도산대로 25길 15-4 1층,
LH강남3단지작은도서관,서울특별시 강남구 자곡로3길 22 ,02-459-8700
休+밤토리SH작은도서관,"서울특별시 강남구 밤고개로26길 50(율현동, 강남한신휴플러스6단지)",02-2226-7942
강남구립못골도서관,서울특별시 강남구 자곡로 116,02-459-5522
강남데시앙파크작은도서관,서울특별시 강남구 헌릉로590길 63 데시앙파크도서관,02-451-7070
강남역삼푸른솔도서관,서울특별시 강남구 테헤란로8길 36. 4층,02-2051-1178
강남한신휴플러스8단지작은도서관,"서울특별시 강남구 밤고개로27길 20(율현동, 강남한신휴플러스8단지) ",02-445-9831
강남한양수자인작은씨앗도서관,서울특별시 강남구 자곡로 260,
개포4동작은도서관,서울특별시 강남구 개포로38길 12 개포4동주민센터 ,02-3423-7884
개포하늘꿈도서관,서울특별시 강남구 개포로 110길 54,02-451-1511
국립어린이청소년도서관,서울특별시 강남구 테헤란로7길 21,02-3413-4800
꿈꾸는작은도서관,서울특별시 강남구 자곡로3길 21 ,02-445-0955
꿈밭작은도서관,서울특별시 강남구 자곡로 204-19 2층,02-3462-9962
남서울중앙교회작은도서관,서울특별시 강남구 삼성로 40(개포동) 1층,02-3411-9191
논현도서관,서울특별시 강남구 학동로43길 17(논현동) 논현2동주민센터 6층,02-3443-7650
논현정보도서관,서울특별시 강남구 학동로 169 3층,02-511-7466
다움영어도서관,서울특별시 강남구 개포로 124길 7 다움영어 작은도서관,02-445-0714
대치1동작은도서관,서울특별시 강남구 남부순환로 391길 19 대치1문화센터 지하1층,02-3452-1170
대치도서관,서울특별시 강남구 삼성로 212 은마아파트 복지상가 2층 215호,02-565-6666
데시앙숲속작은도서관,서울특별시 강남구 광평로 34길 55 강남데시앙포레아파트,02-445-4301
도곡2동작은도서관,서울특별시 강남구 남부순환로378길 34-9 도곡2동주민센터 ,02-3423-7584
도곡정보문화도서관,서울특별시 강남구 도곡로18길 57,1644-3227
래미안포레작은도서관,서울특별시 강남구 밤고개로 21길 25 ,02-3414-0919
루디아영어어린이도서관,"서울특별시 강남구 헌릉로 569, 802호(세곡동) 강남리더스빌딩 802호",070-7092-8315  
못골한옥어린이도서관,서울특별시 강남구 자곡로7길 3 ,02-2226-5930
브리즈힐도서관,서울특별시 강남구 자곡로 3길 45,02-445-3062
사피엔스 작은도서관,서울특별시 강남구 삼성로 720 청담동천주교회,02-3447-0750
삼성도서관,서울특별시 강남구 봉은사로 616 삼성1동주민센터 동관 4층,02-568-9984
삼성서울병원의학정보센터,서울특별시 강남구 일원로 81 삼성서울병원 별관 지하 3층,02-3410-3939
서울특별시교육청강남도서관,서울특별시 강남구 선릉로116길 45,02-3448-4741~5
서울특별시교육청개포도서관,서울특별시 강남구 선릉로4길 30,02-3460-8200
세곡도서관,서울특별시 강남구 밤고개로 286 세곡동주민센터,02-445-0297
세곡리엔파크1단지아파트 SH도서관,"서울특별시 강남구 헌릉로 590길 100, 관리동2층(세곡동) ",02-445-9441
세곡마루도서관,서울특별시 강남구 헌릉로 590길 68 세곡커뮤니티센터 2층,02-2176-0634
수서동작은도서관,서울특별시 강남구 광평로 301-4 수서동주민센터 ,02-3423-8584
숲도서관,서울특별시 강남구 개포로264,02-2058-0929
신사동작은도서관,서울특별시 강남구 압구정로 128 신사동주민센터 ,02-3423-7334
아름다운도서관,서울특별시 강남구 삼성로70길 4 지하1층,070-5135-1385
압구정동작은도서관,서울특별시 강남구 압구정로33길 48 압구정동주민센터,02-3423-7634
역삼2동작은도서관,서울특별시 강남구 언주로 314 강남프라자 2층,02-567-0930
역삼도서관,"서울특별시 강남구 역삼로7길 16, 5층",02-508-1139
열린도서관,서울특별시 강남구 일원로 115 삼성생명빌딩 B동 203호,02-3412-3970
영롱 농문화 도서관,서울특별시 강남구 양재대로 55길 6(일원동) 수서1단지 아파트 상가 204호,
이편한세상도서관,서울특별시 강남구 헌릉로 571길 20 ,02-3411-9245
일원1동작은도서관,서울특별시 강남구 양재대로55길 14 일원1동 주민센터,02-3423-8384
일원라온영어도서관,서울특별시 강남구 영동대로 22 B1(일원동 743),02-6712-0595
일원본동작은도서관,서울특별시 강남구 광평로 126 일원본동주민센터 ,02-3423-8284
작은서관,서울특별시 강남구 영동대로 22 디에이치자이개포생활지원센터,
정다운도서관,서울특별시 강남구 학동로67길 11 3층,02-512-9326
즐거운도서관,서울특별시 강남구 도곡로77길 23 4층,02-565-7533
청담도서관,서울특별시 강남구 압구정로79길 26 청담주민센터 7층,02-540-7042
통계청나라셈도서관,서울특별시 강남구 언주로 721(논현동) 서울세관 별관 4층,02-3438-8502
푸르지오책사랑,서울특별시 강남구 자곡로 21 세곡LH푸르지오 아파트,070-8766-4219
피치서가,서울특별시 강남구 논현로 168길 39 2층,02-3789-0419
하상시각장애인도서관,서울특별시 강남구 개포로 613 하상장애인복지회관,02-451-6000
하음작은도서관,서울특별시 강남구 개포로25길 5 B1,02-577-4874
한국고등교육재단정보자료실,서울특별시 강남구 테헤란로 211 한국고등교육재단 지하3층,02-554-3512
한국무역협회정보자료실,서울특별시 강남구 영동대로 511 무역센터 트레이드타워 603호,02-6000-5109
한국문학번역원번역전문도서관,서울특별시 강남구 영동대로112길 32,02-6919-7755
한국지식재산연구원지식재산전문도서관,"서울특별시 강남구 테헤란로 131, 한국지식재산센터 3층",02-2189-2681~2
행복한도서관,서울특별시 강남구 영동대로65길 24(대치2문화센터 3층),02-567-3833
힐즈도서관,서울특별시 강남구 자곡로 101 강남힐즈아파트,02-3414-0400
