시설명,주소,운영기관전화번호
둘리뮤지엄,서울특별시 도봉구 시루봉로 1길 6,02-990-2200
서대문자연사박물관,서울특별시 서대문구 연희로 32길 51,02-330-8899
서대문형무소역사관,서울특별시 서대문구 통일로251,02-360-8590
서울교육박물관,서울특별시 종로구 북촌로 5길 48,02-2011-5780
서울상상나라,서울특별시 광진구 능동로 216,02-6450-9500
서울약령시한의약박물관,서울특별시 동대문구 약령중앙로26,02-969-9241
서울역사박물관,서울특별시 종로구 새문안로 55(신문로2가 2-1),02-724-0274
성북선잠박물관,서울특별시 성북구 성북로 96(성북동),02-744-0027
손기정기념관,서울특별시 중구 손기정로 101,02-364-1936
수도박물관,서울특별시 성동구 왕십리로 27,02-3146-5936
은평역사한옥박물관,서울특별시 은평구 연서로50길 8,02-351-8524
종로구립 고희동 미술자료관,서울특별시 종로구 창덕궁 5길 40,02-2148-4165
청계천박물관,서울특별시 성동구 청계천로 530,02-2286-3410
한성백제박물관,서울특별시 송파구 위례성대로 71,02-2152-5800
허준박물관,서울특별시 강서구 허준로 87,02-3661-8686
가회민화박물관,서울특별시 종로구 북촌로 52,02-741-0466
"경기여자고등학교 
경운박물관",서울특별시 강남구 삼성로 29,02-3463-1336
고촌이종근기념관,서울특별시 서대문구 충정로 8,02-365-6940
관문사 성보 박물관,서울특별시 서초구 바우뫼로7길111,02-3460-5300
근현대디자인박물관,서울특별시 마포구 와우산로 30길 36 ,070-7010-4346
기생충박물관,서울특별시 강서구 화곡로 333,02-2601-3278
김달진미술자료박물관,서울특별시 종로구 홍지문1길 4,02-730-6216
꼭두박물관,서울특별시 종로구 동숭길 122,02-766-3315
농협 농업박물관,서울특별시 중구 새문안로 16,02-2080-5727
세계다문화박물관,서울특별시 은평구 불광로 135,02-323-6848
도산안창호기념관,서울특별시 강남구 도산대로 45길 20 도산공원내,02-541-1800
떡박물관,서울특별시 종로구 돈화문로 71,02-741-5447
롯데월드 아쿠아리움,서울특별시 송파구 올림픽로 300,02-1661-2000
롯데월드 민속박물관,서울특별시 송파구 올림픽로 240,02-411-4760
명인박물관,서울특별시 종로구 북촌로6길 1,02-766-0272
목인박물관,서울특별시 종로구 인사동 11길 20(견지동),02-722-5066
뮤지엄김치간,"서울특별시 종로구 인사동길 35-4 인사동마루 본관 4,5,6층 ",02-6002-6456
박을복자수박물관,서울특별시 강북구 우이동 삼양로 149가길 53,02-990-7000
배재학당역사박물관,서울특별시 중구 서소문로11길 19 배재정동빌딩 동관 배재학당역사박물관,02-319-5578
백범김구기념관,서울특별시 용산구 임정로 26,02-799-3400
보나장신구 박물관 ,서울특별시 종로구 인사동 9길 9,02-732-6621
북촌동양문화박물관,서울특별시 종로구 북촌로11길 76,02-723-0190
북촌박물관,서울특별시 종로구 북촌로 39,02-766-8402
북촌생활사박물관,서울특별시 종로구 북촌로5나길90(삼청동),02-736-3957
불교중앙박물관,서울특별시 종로구 우정국로 55,02-2011-1960
브이센터 더 라이브 뮤지엄,서울특별시 강동구 아리수로61길 103,070-4284-8470
삼성출판박물관,서울특별시 종로구 비봉길2-2,02-394-6544
샬트르성바오로수녀회 역사박물관,서울특별시 명동길 74-2,02-3706-3255
서울그레뱅뮤지엄,서울특별시 을지로 23,02-777-4700
