공원명,공원주소,전화번호
남산도시자연공원,서울특별시 중구 삼일대로 231(예장동),02-3783-5900
길동생태공원,서울특별시 강동구 천호대로 1291(길동생태공원) ,02-489-2770
서울대공원,경기도 과천시 대공원광장로 102,02-500-7032
서울숲,서울특별시 성동구 뚝섬로 273 (성수동1가) ,02-460-2905 
월드컵공원,서울특별시 마포구 하늘공원로 84(월드컵공원),02-300-5500
광화문시민열린마당,서울특별시 종로구 세종로 76-2,02-2148-2843
진관근린공원(구파발폭포),서울특별시 은평구 진관동 393,02-351-8004
중마루근린공원,서울특별시 영등포구 영등포동2가 222,02-2670-3717
응봉공원,서울특별시 성동구 금호동1가 산1-72,02-2293-7646
매화근린공원,서울특별시 강서구 등촌동 630-14,02-2600-4181
성수근린공원,서울특별시 성동구 성수2가 3동 302-25,02-2286-5657
샛마을근린공원,서울특별시 강동구 명일1동 288,02-3425-6444
여의도근린공원,서울특별시 영등포구 여의공원로 68 (여의도동),02-761-4078~9
간데메근린공원,서울특별시 동대문구 서울시립대로2길 59(간데메공원),02-2249-2770
훈련원근린공원,서울특별시 중구 을지로 227,02-3396-5894
영등포근린공원,서울특별시 영등포구 신길로 275,02-2670-3716
보라매근린공원,서울특별시 동작구 여의대방로20길 33(보라매공원),02-2181-1191~1195
어린이대공원,서울특별시 광진구 능동로 216(어린이대공원),02-450-9311
천호근린공원,서울특별시 강동구 올림픽로 702(천호공원),02-489-2776
용산가족공원,서울특별시 용산구 서빙고로 185,02-792-5660
독립근린공원,서울특별시 서대문구 통일로251(독립공원),02-364-4686
낙산근린공원,서울특별시 종로구 낙산길 41 (우) 03085,02-743-7985~6
양재시민의숲,서울특별시 서초구 매헌로 99 (양재동),02-575-3895
관악산도시자연공원,서울특별시 관악구 관악로 1(관악산공원),02-2627-1653
효창근린공원,서울특별시 용산구 효창원로 177-18,02-2199-7608
감로천생태공원(관악산),서울특별시 금천구 독산4동 371?375 373일대,02)2627-2395~7
개운산근린공원,서울특별시 성북구 북악산로 949-73(돈암동 6-1),02-2241-3667
개웅산근린공원,서울특별시 구로구 오류동 산13-1,02-860-3086
경희궁,서울특별시 종로구 새문안로 55(신문로2가 2-1),02-2148-4144
국립현충원,서울특별시 동작구 사당2동 산41-2,02-826-6235
계남근린공원,서울특별시 양천구 신정동 산44-2일대,02-2620-3575
고척근린공원,서울특별시 구로구 고척로45길 39(고척공원),02-860-3086
파리근린공원,서울특별시 양천구 목동동로 363 ,02-2620-3576
허준공원,서울특별시 강서구 허준로5길 42,02-2600-4186
궁동근린공원,서울특별시 서대문구 성산로7길 19-24(궁동공원) ,02-330-1961
궁산근린공원,서울특별시 강서구 가양동 산4-7,02-2600-4185
까치산근린공원,서울특별시 동작구 사당동 산32,02-820-1396
꿩고개근린공원,서울특별시 강서구 방화동 산110,02-2600-4186
노량진공원,서울특별시 동작구 여의대방로 15-45(여의대방로36길 71),02-820-9845
답십리근린공원,서울특별시 동대문구 답십리로 209(답십리공원) ,02-2127-4398
대모산도시자연공원,서울특별시 강남구 광평로10길 30-71(대모산공원) ,02-3423-6283
탑골근린공원,서울특별시 종로구 종로 99,02-2148-2843
갈산근린공원,서울특별시 양천구 신정동 162-56,02-2620-3574
천마근린공원,서울특별시 송파구 마천동 산 1-1,02-400-0978
도곡근린공원,서울특별시 강남구 도곡동 산31-1,02-3423-6248
도산근린공원,서울특별시 강남구 도산대로45길 20(도산공원),02-3423-6244
청량공원,서울특별시 성북구 화랑로18가길 50,02-2241-3683
